prefix,first_name,last_name,gender,phone_number,email,vehicle_description,vehicle_brand,manufacturing_year,model_name,vehicle_type,vehicle_condition,transmission_type,engine_capacity,drive_type,fuel_type,fuel_consumption,kilometres_driven,vehicle_colour,secondary_address,building_number,street_name,street_suffix,location,engine_cylinders,body_type,doors,seats,price
Dr.,Teresa,Flynn,f,88275563,valerie60@example.com,2017 Mitsubishi Triton GLX Plus (4X4),Mitsubishi,2017.0,Triton,Ute / Tray,USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,7.6 L / 100 km,130277,White / 88H,05/,2,Woods Range,Gully,"Cardiff, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,27990
Mr.,Joshua,Stafford,m,(07)-9635-5848,rvalencia@example.com,2014 Hyundai I20 Active,Hyundai,2014.0,I20,Hatchback,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,5.9 L / 100 km,178545,White / -,1/,8,Daniel Ridge,Terrace,"Rocklea, QLD",4 cyl,Hatchback, 3 Doors, 5 Seats,10505
Dr.,Tina,Brown,f,+61.3.4782.0802,lisa04@example.org,2005 Toyota Landcruiser GXL (4X4),Toyota,2005.0,Landcruiser,SUV,USED,Manual,"6 cyl, 4.2 L",4WD,Diesel,11.2 L / 100 km,251045,White / -,Level 3 ,28,Vance Approach,Centreway,"Edwardstown, SA",6 cyl,SUV, 4 Doors, 8 Seats,39970
Miss,Teresa,Serrano,f,0225631324,tbrooks@example.com,2013 Hyundai I30 Elite,Hyundai,2013.0,I30,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.9 L / 100 km,237639,Silver / -,6/,50,Warren Alley,Access,"Traralgon, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,11990
,Lauren,Knox,u,5220-5167,kyleburgess@example.org,2017 Hyundai Iload 3S Liftback,Hyundai,2017.0,Iload,Commercial,USED,Manual,"4 cyl, 2.5 L",Rear,Diesel,7.6 L / 100 km,116142,White / Grey  Cloth,Level 5 ,12,Johnson Grove,Riviera,"Bankstown, NSW",4 cyl,Commercial, 4 Doors, 3 Seats,25990
,Dr.,Brian,u,+61.415.274.808,hillstephen@example.com,2011 Toyota Estima ESTIMA ACR50,Toyota,2011.0,Estima,USED Dealer ad,USED,-,-,Other,-,-,80941,White / -,14/,38,Chan Avenue,Deviation,"Moorabbin, VIC",-,Wagon,,,24950
Mrs.,Brittany,Chapman,f,2557.9913,daniel81@example.org,2012 Jeep Grand Cherokee 2012 JEEP GRAND CHEROKEE LAREDO AUTO 4X4 MY12,Jeep,2012.0,Grand,3MT True Value Auto,USED,Automatic,-,Other,-,-,190962,Silver / -,286/,63,Kenneth Strand,Gates,"Victoria Park, WA",-,Wagon,,,15980
,Ashley,Austin,u,(02)67577321,jeffreygarcia@example.com,2017 BMW 530I M-Sport,BMW,2017.0,530I,Sedan,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.2 L / 100 km,110539,White / Leather,Level 1 ,545,Burns Quays,Pathway,"Elderslie, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,45999
,Shelby,King,u,+61-451-386-937,john80@example.org,2013 Nissan Caravan Premium GX,Nissan,2013.0,Caravan,Melbourne Automobiles Pty Ltd,USED,Automatic,-,Other,-,-,266699,Black / Black,Flat 08 ,641,Hall Loop,Dell,"Braeside, VIC",-,Commercial,,,18888
Dr.,Victoria,Crosby,f,(02) 8793 4771,simpsondenise@example.com,2015 Hyundai Accent Active,Hyundai,2015.0,Accent,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.4 L / 100 km,103217,White / -,85/,192,Smith Sound,Gardens,"Frankston, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,15410
,Maureen,Gibbons,u,+61855867655,ian34@example.com,2015 Toyota RAV4 GXL (4X4),Toyota,2015.0,RAV4,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.5 L / 100 km,160695,Red / Black,Flat 33 ,830,Chang Little,Ramble,"Geelong, VIC",4 cyl,SUV, 4 Doors, 5 Seats,25988
Mr.,Dylan,Burke,m,6720.9294,reidashley@example.org,2017 Honda Civic RS,Honda,2017.0,Civic,Sedan,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6 L / 100 km,71878,White / -,Unit 09 ,5,Ronald Landing,Trailer,"Saint Marys, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,25990
Mr.,Christopher,Blackwell,m,8760-3661,angelanderson@example.com,2009 Subaru Forester X,Subaru,2009.0,Forester,SUV,USED,Manual,"4 cyl, 2.5 L",AWD,Unleaded,9.3 L / 100 km,166503,Grey / Grey,Flat 34 ,84,Mason Ridgeway,Artery,"Ringwood, VIC",4 cyl,SUV, 4 Doors, 5 Seats,14990
,Alisha,Mane,u,+61 443 275 579,catherinemiller@example.net,2016 Toyota Corolla Fielder Hybrid,Toyota,2016.0,Corolla,My Car Choice,USED,Automatic,-,Other,Unleaded,-,124038,White / Black,5/,2,Lindsay Circle,Anchorage,"Greenacre, NSW",-,Wagon,,,21999
Mrs.,Victoria,Torres,f,0488 521 949,joycejaime@example.net,2012 Nissan X-Trail TI (4X4),Nissan,2012.0,X-Trail,SUV,USED,Automatic,"4 cyl, 2.5 L",4WD,Unleaded,9.1 L / 100 km,203208,Black / -,524/,19,Hughes Quadrant,Tarn,"Mcgraths Hill, NSW",4 cyl,SUV, 4 Doors, 5 Seats,14880
Dr.,Ashley,Mcdonald,f,0737-1142,tracey65@example.net,2017 Nissan Navara ST (4X4),Nissan,2017.0,Navara,Ute / Tray,USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,7 L / 100 km,75852,Silver / Cloth,428/,38,Ethan Rotary,Lower,"Bridgewater, SA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,38990
Mr.,Scott,Flores,m,+61.493.534.664,eprince@example.net,2007 Mitsubishi Triton GLX 4x2,Mitsubishi,2007.0,Triton,Valley Cars,USED,Manual,-,Rear,Unleaded,-,327302,White / Grey,Flat 99 ,0,Brian Subway,Tarn,"Kurri Kurri, NSW",-,Ute / Tray,,,8999
Mr.,Melvin,Lane,m,(08)-7808-2322,erica98@example.com,2017 Nissan Navara ST (4X4),Nissan,2017.0,Navara,Ute / Tray,USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,7 L / 100 km,120592,Blue / Black,Level 0 ,895,Chase Crescent,Laneway,"Seymour, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,36990
Dr.,Michael,Ashley,m,+61 2 2905 3932,mcfarlandandrea@example.com,2015 Mitsubishi Triton GLX (4X4),Mitsubishi,2015.0,Triton,Ute / Tray,USED,Manual,"4 cyl, 2.5 L",4WD,Diesel,8.1 L / 100 km,151753,Black / -,435/,63,Matthew Grange,Track,"Cheltenham, VIC",4 cyl,Ute / Tray, 4 Doors, 5 Seats,23990
,Carly,Mckenzie,u,6657 7218,michellewarren@example.org,2009 Holden Cruze CD,Holden,2009.0,Cruze,Sedan,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.5 L / 100 km,193232,Silver / -,Unit 78 ,134,Melanie Chase,Mews,"St Albans, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,6499
Mrs.,Monica,Allen,f,(02)-7378-6392,thompsonangela@example.net,2015 Audi Q5 2.0 Tfsi Quattro,Audi,2015.0,Q5,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7.9 L / 100 km,140070,Black / -,Level 0 ,500,Victoria Steps,Roadway,"Rozelle, NSW",4 cyl,SUV, 4 Doors, 5 Seats,26800
Mrs.,Rebecca,Nash,f,17431660,kmiller@example.org,2017 Mitsubishi Triton GLX (4X4),Mitsubishi,2017.0,Triton,Ute / Tray,USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,7.6 L / 100 km,198160,Grey / -,Flat 03 ,4,Lee Mall,Stairs,"Liverpool, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,28888
Dr.,Robert,Price,m,0428-584-535,jeffrey29@example.org,2015 Land Rover Discovery Sport SD4 HSE,Land,2015.0,Rover,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,6.1 L / 100 km,121574,Grey / Black,Flat 80 ,327,Scott Mall,Top,"Oakleigh, VIC",4 cyl,SUV, 4 Doors, 5 Seats,29888
Mr.,Patrick,Peters,m,08 3098 3163,herreracharles@example.net,2017 Toyota Corolla Hybrid,Toyota,2017.0,Corolla,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.1 L / 100 km,21931,White / -,Unit 48 ,647,Dean Junction,Crossing,"South Hurstville, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,28990
Dr.,Anaya,Mander,f,(03) 2239 1125,austin43@example.com,2017 Tesla Model X 90D,Tesla,2017.0,Model,SUV,USED,Automatic,0 L,4WD,Electric,0 L / 100 km,126860,Blue / -,Flat 34 ,77,Jamie Entrance,Turn,"Rozelle, NSW",0 L,SUV, 4 Doors, 5 Seats,79800
Mrs.,Kayla,Powell,f,(08)-0994-8622,moralestiffany@example.net,2017 Mazda CX-5 Akera (4X4),Mazda,2017.0,CX-5,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,61011,Silver / -,77/,3,Ashley Stairs,Cul-de-sac,"Rozelle, NSW",4 cyl,SUV, 4 Doors, 5 Seats,35800
Mr.,Michael,Moore,m,+61.424.740.009,kevin61@example.org,2017 Ford Transit Custom 340L (lwb),Ford,2017.0,Transit,Commercial,USED,Automatic,"4 cyl, 2 L",Front,Diesel,7.2 L / 100 km,136903,White / -,Unit 77 ,78,Jamie Pathway,Close,"Oakleigh, VIC",4 cyl,Commercial, 2 Doors, 3 Seats,39950
Mr.,George,Sheppard,m,07-4085-2240,riosandrew@example.com,2010 Audi A3 Sportback 1.8 Tfsi Ambition,Audi,2010.0,A3,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Premium,8.5 L / 100 km,145374,Black / Black,60/,83,Troy End,Row,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,14995
Mr.,Kevin,Rios,m,+61 7 4342 0967,jhill@example.net,2015 Mazda 6 Touring,Mazda,2015.0,6,Sedan,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,201306,Red / -,Apt. 646 ,55,Yolanda Anchorage,Thoroughfare,"Five Dock, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,12999
,Vanessa,Mcgee,u,+61 2 3810 7053,darrylfleming@example.net,2010 Hyundai Santa FE Highlander Crdi (4X4),Hyundai,2010.0,Santa,SUV,USED,Automatic,"4 cyl, 2.2 L",4WD,Diesel,7.5 L / 100 km,200516,Blue / Grey,Level 4 ,33,Julia Block,Meander,"Lidcombe, NSW",4 cyl,SUV, 4 Doors, 7 Seats,11990
Dr.,Shawn,Gilbert,m,2575 3943,sarahgarcia@example.com,2014 Mazda 2 NEO Sport,Mazda,2014.0,2,Hatchback,USED,Manual,"4 cyl, 1.5 L",Front,Unleaded,6.4 L / 100 km,34774,Red / -,Flat 92 ,2,Marcus Round,Formation,"Thomastown, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,12490
Mrs.,Miranda,Donovan,f,0482 128 661,laurentaylor@example.net,2014 Honda Fit Hybrid,Honda,2014.0,Fit,UniBee Australia,USED,Automatic,-,Other,Unleaded,-,75723,Black / Black,Level 9 ,4,Cook State Highway,Freeway,"Dandenong, VIC",-,Hatchback,,,17990
Mr.,Samuel,Howard,m,+61.400.798.962,thansen@example.org,2005 Holden Astra CDX,Holden,2005.0,Astra,Wagon,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,8.3 L / 100 km,172111,Blue / -,Level 4 ,50,Rita Freeway,Ridgeway,"Nerang, QLD",4 cyl,Wagon, 4 Doors, 5 Seats,7990
Dr.,Tara,Larson,f,+61346765370,stevenbaker@example.org,2013 Toyota HiAce LWB,Toyota,2013.0,HiAce,Commercial,USED,Automatic,"4 cyl, 3 L",Rear,Diesel,8 L / 100 km,356716,White / Grey,83/,341,Santiago Alleyway,Grange,"Chipping Norton, NSW",4 cyl,Commercial, 4 Doors, 3 Seats,20880
,Carlos,Alexander,u,5692-0996,davidrodriguez@example.org,2014 Mercedes-Benz S-Class S400,Mercedes-Benz,2014.0,S-Class,USED Dealer ad,USED,Automatic,-,Rear,-,-,67041,Silver / -,Suite 083 ,76,Mark Amble,Meander,"Laverton North, VIC",-,,,,69990
,Kylie,Long,u,+61 495 192 632,bryan58@example.com,2017 Ford Everest Ambiente (rwd 5 Seat),Ford,2017.0,Everest,SUV,USED,Automatic,"5 cyl, 3.2 L",Rear,Diesel,8.4 L / 100 km,97448,Silver / Black,Suite 416 ,853,Victoria Rest,Slope,"Brighton, VIC",5 cyl,SUV, 4 Doors, 5 Seats,36990
Mr.,Ronald,Reynolds,m,(07).1146.8360,stephanieward@example.org,2016 Ford Mustang Fastback GT 5.0 V8,Ford,2016.0,Mustang,Coupe,USED,Manual,"8 cyl, 5 L",Rear,Premium,13.1 L / 100 km,6830,Red / -,Suite 913 ,869,Jill Bend,Anchorage,"Nailsworth, SA",8 cyl,Coupe, 2 Doors, 4 Seats,57980
Mr.,Patrick,Cummings,m,+61-7-3226-2721,drussell@example.com,2017 Ford Ranger XLS 3.2 (4X4),Ford,2017.0,Ranger,Ute / Tray,USED,Automatic,"5 cyl, 3.2 L",4WD,Diesel,9.2 L / 100 km,143738,Black / Ebony Circuit Fabric,519/,307,Clark Siding,Key,"Tweed Heads South, NSW",5 cyl,Ute / Tray, 4 Doors, 5 Seats,42990
,Jesse,Torres,u,1526-1109,rwhite@example.org,2013 Hyundai I30 Active,Hyundai,2013.0,I30,Hatchback,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.9 L / 100 km,150200,Black / -,Level 4 ,69,Amanda Wade,Steps,"Moorooka, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,15995
,Patricia,Phillips,u,0475 262 423,mpope@example.com,2017 Holden UTE SS-V Redline,Holden,2017.0,UTE,Ute / Tray,USED,Automatic,"8 cyl, 6.2 L",Rear,Unleaded,12.4 L / 100 km,38567,Blue / -,Apt. 473 ,443,Kline Brow,Arcade,"Oakleigh, VIC",8 cyl,Ute / Tray, 2 Doors, 2 Seats,68850
Mrs.,Katelyn,Beard,f,0400-809-310,richard06@example.org,2014 Hyundai I30 Active,Hyundai,2014.0,I30,Hatchback,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,6.8 L / 100 km,67700,- / -,Suite 853 ,484,Lauren Lees,Corner,"Toowoomba, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,15490
Dr.,Cynthia,Flores,f,0443 232 260,marc96@example.net,2013 Mitsubishi Lancer LX,Mitsubishi,2013.0,Lancer,Sedan,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,176119,White / Black,Unit 40 ,186,Robbins Piazza,Lees,"Brookvale, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10999
Mr.,Michael,Vargas,m,13623041,donaldallen@example.org,2008 Kia Rondo EX Limited,Kia,2008.0,Rondo,Wagon,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.6 L / 100 km,332493,Grey / Grey,060/,6,Davis Gap,Firetrail,"Wentworthville, NSW",4 cyl,Wagon, 4 Doors, 7 Seats,2995
Dr.,Wayne,Jenkins,m,(02).1625.6731,robert09@example.com,2016 Audi A5 2.0 Tfsi Quattro,Audi,2016.0,A5,Coupe,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.7 L / 100 km,62497,Grey / -,Suite 167 ,224,White Quays,Path,"Hoppers Crossing, VIC",4 cyl,Coupe, 2 Doors, 4 Seats,33990
Dr.,Kathleen,Ford,f,(03)87845463,dianaferguson@example.org,2015 Holden Barina X,Holden,2015.0,Barina,Hatchback,USED,Manual,"4 cyl, 1.6 L",Front,Unleaded,6.8 L / 100 km,80387,Red / -,Flat 11 ,9,Vanessa Range,Highway,"Adamstown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,12990
Mrs.,Tiffany,Alvarez,f,(02) 2580 0037,reynoldsjustin@example.org,2014 Hyundai IX35 Series II SE Wagon 5dr Spts Auto 6sp 2.0i [MY15],Hyundai,2014.0,IX35,Trilogy Motor Group,USED,Automatic,-,Other,-,-,111110,White / -,Flat 98 ,347,Morales Path,Rotary,"Ermington, NSW",-,Wagon,,,17490
Mrs.,Tunradee,Benchapatranon,f,+61-8-2656-0427,rjohnson@example.com,2017 Audi Q5 2.0 Tfsi Quattro Sport,Audi,2017.0,Q5,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7.3 L / 100 km,98261,Blue / Black,22/,13,Cox Frontage,Trail,"Hendra, QLD",4 cyl,SUV, 4 Doors, 5 Seats,33992
Dr.,John,Tucker,m,(07)75544898,nicole66@example.net,2015 Nissan X-Trail ST (fwd),Nissan,2015.0,X-Trail,SUV,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,188702,Red / -,Flat 88 ,6,James Access,Avenue,"Kirrawee, NSW",4 cyl,SUV, 4 Doors, 5 Seats,14900
Mr.,Douglas,Cervantes,m,+61-2-3228-3892,brownelijah@example.org,2013 HSV Clubsport R8 Tourer,HSV,2013.0,Clubsport,Wagon,USED,Automatic,"8 cyl, 6.2 L",Rear,Premium,14.2 L / 100 km,76221,Grey / Black,030/,810,Peters Strip,State Highway,"Wodonga, VIC",8 cyl,Wagon, 4 Doors, 5 Seats,65990
Dr.,Gregory,Richardson,m,(07)90266417,jason63@example.org,2015 Holden UTE SS Storm,Holden,2015.0,UTE,Ute / Tray,USED,Automatic,"8 cyl, 6 L",Rear,Unleaded,12.4 L / 100 km,91150,Red / -,Unit 61 ,3,Wise Gully,Roads,"South Nowra, NSW",8 cyl,Ute / Tray, 2 Doors, 2 Seats,34990
Dr.,Melissa,Cobb,f,+61.451.655.131,gwright@example.com,2011 Suzuki Swift GL,Suzuki,2011.0,Swift,Hatchback,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.2 L / 100 km,201011,Grey / Black,938/,39,David Ronde,Foreshore,"Penrith, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,7999
Mrs.,Ashley,Aguilar,f,+61 404 702 331,carlos55@example.net,2010 Land Rover Range Rover Sport V8 Luxury,Land,2010.0,Rover,Central West Motors,USED,Automatic,-,Other,Premium,-,199475,Gold / Beige,Apt. 434 ,8,Powell Rotary,Common,"West Footscray, VIC",-,Wagon,,,28999
Mr.,Mathew,Wilson,m,0498 990 787,murphysandra@example.org,2015 Mazda 3 SP25 GT,Mazda,2015.0,3,Sedan,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6 L / 100 km,96335,Silver / Black Leather,Apt. 164 ,93,Thompson Edge,Parade,"Lilydale, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,22999
Ms.,Melissa,Leach,f,9439 3109,uanderson@example.com,2017 Mitsubishi ASX LS (2WD),Mitsubishi,2017.0,ASX,SUV,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,26110,Grey / -,Level 2 ,9,Silva Gully,Park,"Morningside, QLD",4 cyl,SUV, 4 Doors, 5 Seats,24590
Mrs.,Jennifer,Chapman,f,+61.434.255.270,caldwellbrent@example.org,2017 Toyota Landcruiser Workmate (4X4),Toyota,2017.0,Landcruiser,Ute / Tray,USED,Manual,"8 cyl, 4.5 L",4WD,Diesel,10.7 L / 100 km,113012,White / -,Suite 448 ,57,Crosby Triangle,Row,"Edwardstown, SA",8 cyl,Ute / Tray, 2 Doors, 3 Seats,68970
Dr.,Vanessa,Morgan,f,+61.496.962.253,wagnergregory@example.org,2004 Hyundai Santa FE GLS (4X4),Hyundai,2004.0,Santa,SUV,USED,Automatic,"6 cyl, 2.7 L",4WD,Unleaded,11 L / 100 km,182067,White / -,Level 1 ,5,Linda Causeway,Tor,"Minchinbury, NSW",6 cyl,SUV, 4 Doors, 5 Seats,7995
Mr.,Thandeka,Thabethe-Bhejelibomvu,m,(02)20751195,fisherkristen@example.org,2016 Toyota Camry Altise,Toyota,2016.0,Camry,Sedan,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,71139,White / Grey,Unit 17 ,83,Price Avenue,Grange,"Dandenong, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,20999
Dr.,Ricky,Mcclure,m,0411.003.722,melody53@example.com,2015 Toyota Hilux SR (4X4),Toyota,2015.0,Hilux,Ute / Tray,USED,Automatic,"4 cyl, 3 L",4WD,Diesel,8.7 L / 100 km,258245,White / -,0/,40,Pennington Flat,Garden,"Bentley, WA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,29859
Mr.,James,Hunter,m,(03)-9401-8707,pperez@example.net,2016 Toyota Hilux Workmate,Toyota,2016.0,Hilux,Ute / Tray,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,10.9 L / 100 km,81522,White / Grey,15/,60,Patrick Riverway,Wade,"Lismore, NSW",4 cyl,Ute / Tray, 2 Doors, 2 Seats,25995
Mr.,Anthony,Gilbert,m,0469.871.969,merrittdarin@example.org,2013 Mazda 6 Touring,Mazda,2013.0,6,Sedan,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,163000,Grey / Black,9/,14,Chandler Extension,Bend,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,16995
,Mackenzie,Vargas,u,07-7689-6230,qkent@example.net,2015 Jeep Cherokee Sport (4X2),Jeep,2015.0,Cherokee,SUV,USED,Automatic,"4 cyl, 2.4 L",Rear,Unleaded,8.3 L / 100 km,165000,Black / -,Unit 01 ,631,Conley Glade,Green,"Slacks Creek, QLD",4 cyl,SUV, 4 Doors, 5 Seats,14900
Dr.,Samiha,Mann,f,0335301875,keithmarsh@example.org,2014 Toyota Estima Aeras,Toyota,2014.0,Estima,Sydney City Traders,USED,Automatic,-,Other,-,-,90390,Grey / Black,Unit 41 ,27,Crystal Hill,Crest,"Five Dock, NSW",-,Wagon,,,24995
,Adam,Smith,u,(08)-8651-3500,diane46@example.net,2011 Great Wall X240 (4X4),Great,2011.0,Wall,SUV,USED,Manual,"4 cyl, 2.4 L",4WD,Unleaded,10.4 L / 100 km,108881,Blue / -,47/,965,Hansen Laneway,Flat,"Osborne Park, WA",4 cyl,SUV, 4 Doors, 5 Seats,7990
,Kim,Watson,u,0436 562 407,jessebarrett@example.net,2014 Hyundai Santa FE Highlander Crdi (4X4),Hyundai,2014.0,Santa,SUV,USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.3 L / 100 km,76847,White / -,2/,69,Shaw Block,Gap,"Croydon, NSW",4 cyl,SUV, 4 Doors, 7 Seats,29999
,Valerie,Ward,u,03.9169.6570,robert69@example.net,2016 Mazda CX-5 Maxx Sport (4X4),Mazda,2016.0,CX-5,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,89998,White / Black,526/,751,Jennifer Bridge,Key,"Bundaberg, QLD",4 cyl,SUV, 4 Doors, 5 Seats,24788
Mr.,Kevin,Jacobs,m,7079.3253,sherylmassey@example.org,2017 Mercedes-Benz A200,Mercedes-Benz,2017.0,A200,Hatchback,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,6.1 L / 100 km,45208,White / -,Apt. 316 ,50,Sherri Chase,Little,"Eagle Farm, QLD",4 cyl,Hatchback, 5 Doors, 5 Seats,34850
Mrs.,Kimberly,Jarvis,f,0456 580 441,george63@example.net,2010 Toyota Camry Touring SE,Toyota,2010.0,Camry,Sedan,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,8.8 L / 100 km,70532,Blue / Grey,Suite 749 ,53,Vaughn Rue,Stairs,"Dandenong, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,13999
Mrs.,Jillian,Phillips,f,(08)-1957-4503,dennis31@example.com,2015 Subaru XV 2.0I-S,Subaru,2015.0,XV,SUV,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.1 L / 100 km,136048,Blue / Black,93/,705,Gene Crossing,Chase,"Somerton Park, SA",4 cyl,SUV, 4 Doors, 5 Seats,22990
Mrs.,Donna,Blackburn,f,+61.8.9096.9537,holly60@example.org,2015 BMW X6 Xdrive 30D,BMW,2015.0,X6,SUV,USED,Automatic,"6 cyl, 3 L",AWD,Diesel,6 L / 100 km,122791,Black / -,48/,3,Hardin Quadrangle,Alley,"Mansfield, QLD",6 cyl,SUV, 4 Doors, 5 Seats,39800
Mrs.,Megan,Stafford,f,0479.686.522,jameswinters@example.org,2016 Nissan Navara ST (4X4),Nissan,2016.0,Navara,Ute / Tray,USED,Manual,"4 cyl, 2.3 L",4WD,Diesel,6.5 L / 100 km,142322,White / Black,Flat 77 ,350,Hayes Approach,Rest,"Singleton, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,38888
Mr.,Jacob,Holt,m,83492674,saramorgan@example.org,2015 Hyundai Santa FE Active (4X4),Hyundai,2015.0,Santa,SUV,USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,9 L / 100 km,199675,White / -,Flat 37 ,0,Katie Basin,Strand,"Moorabbin, VIC",4 cyl,SUV, 4 Doors, 7 Seats,18888
Mrs.,Michele,Payne,f,03 0020 3426,allen96@example.org,2014 Renault Trafic 2.0 DCI SWB,Renault,2014.0,Trafic,Commercial,USED,Manual,"4 cyl, 2 L",Front,Diesel,8.3 L / 100 km,164125,White / -,15/,0,Bryan Circlet,Plaza,"Windsor Gardens, SA",4 cyl,Commercial, 2 Doors, 3 Seats,18999
Mr.,Matthew,Hayes,m,+61731329165,tjordan@example.org,2014 Mercedes-Benz C200,Mercedes-Benz,2014.0,C200,Sedan,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6 L / 100 km,87000,Silver / -,265/,88,Tiffany Run,Way,"Myaree, WA",4 cyl,Sedan, 4 Doors, 5 Seats,30990
Mrs.,Lucy,Scott,f,0401.230.104,msimpson@example.net,2013 Opel Astra 1.4,Opel,2013.0,Astra,Hatchback,USED,Manual,"4 cyl, 1.4 L",Front,Premium,5.9 L / 100 km,86852,Red / Black,Flat 63 ,4,Campbell Park,Edge,"Mordialloc, VIC",4 cyl,Hatchback, 5 Doors, 5 Seats,8999
Mr.,Christopher,Cole,m,02-3190-8468,tararamirez@example.net,2014 Subaru Forester 2.5I-S,Subaru,2014.0,Forester,SUV,USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.1 L / 100 km,158654,Red / -,Unit 45 ,365,Christina Edge,Estate,"Helensvale, QLD",4 cyl,SUV, 4 Doors, 5 Seats,19990
,Denise,Hoffman,u,+61-445-854-949,randy56@example.com,2017 Kia Carnival SLI,Kia,2017.0,Carnival,Wagon,USED,Automatic,"6 cyl, 3.3 L",Front,Unleaded,11.6 L / 100 km,61291,Black / Black,Unit 15 ,23,Walker Ridgeway,Link,"CAMBERWELL, VIC",6 cyl,Wagon, 4 Doors, 8 Seats,38490
,Gary,Peterson,u,+61 2 6291 8079,robinsonnoah@example.com,2010 Kia Grand Carnival EXE,Kia,2010.0,Grand,Wagon,USED,Automatic,"6 cyl, 3.8 L",Front,Unleaded,12.8 L / 100 km,140010,Blue / -,6/,25,Butler Wynd,Circlet,"Watsonia, VIC",6 cyl,Wagon, 4 Doors, 8 Seats,12990
Mr.,Kevin,Duffy,m,07 9128 9263,shermannichole@example.com,2015 Ford Mondeo Trend Tdci,Ford,2015.0,Mondeo,Wagon,USED,Automatic,"4 cyl, 2 L",Front,Diesel,5.3 L / 100 km,122542,Blue / -,Flat 26 ,8,Burgess Steps,Beach,"Osborne Park, WA",4 cyl,Wagon, 4 Doors, 5 Seats,16990
